sample,cts_total,cts_unaligned,cts_unique,cts_multi
adult-adipose-1,14209503,4954997,8438408,816098
adult-adrenal-gland-1,31917254,3157143,25331737,3428374
adult-adrenal-gland-2,8058799,847102,6259487,952210
adult-artery-1,13367294,3936894,8587155,843245
adult-bladder-1,3604154,467676,2820692,315786
adult-bladder-2,5987271,780947,4647154,559170
adult-bone-marrow-1,6799962,545105,4370080,1884777
adult-bone-marrow-2,4875592,299459,3895678,680455
adult-brain-1,7654601,1178562,5996966,479073
adult-cervix-1,9055872,2020056,6319841,715975
adult-esophagus-1,2251953,152407,1845065,254481
adult-fallopian-tube-1,2487892,458534,1780737,248621
adult-gall-bladder-1,5972582,1081568,4307180,583834
adult-gall-bladder-2,4832853,326313,4079393,427147
adult-heart-1,4012124,345304,3345882,320938
adult-heart-2,8360022,1020056,6743878,596088
adult-intestine-1,9431509,877216,6710100,1844193
adult-intestine-2,2876517,379970,2135715,360832
adult-intestine-3,16426352,1761658,11775145,2889549
adult-intestine-4,13717102,2084514,10430788,1201800
adult-intestine-5,2937957,251798,2350286,335873
adult-intestine-6,31843536,5785860,21861106,4196570
adult-kidney-2,4329239,807236,3163622,358381
adult-kidney-3,6801318,717648,5304565,779105
adult-kidney-4.1,5503560,717186,4179346,607028
adult-kidney-4.2,4134440,449993,3220513,463934
adult-liver-1.1,1185185,190250,836914,158021
adult-liver-1.2,2090934,350455,1453718,286761
adult-liver-2,2969876,549572,2182454,237850
adult-liver-4.1,627285,67893,502954,56438
adult-liver-4.2,595344,78816,466142,50386
adult-lung-1,16510675,2504077,12673790,1332808
adult-lung-2,6385670,1137439,4768450,479781
adult-lung-3.1,2354695,426115,1739570,189010
adult-lung-3.2,3334756,549829,2494605,290322
adult-lung-3.3,2339671,444154,1701306,194211
adult-lung-3.4,2909889,485550,2171155,253184
adult-muscle-1,14596736,1484493,11978148,1134095
adult-omentum-2,5820736,581949,4557774,681013
adult-omentum-3,29795537,4823669,22451794,2520074
adult-pancreas-1,5613508,565072,4614875,433561
adult-peripheral-blood-1,14907289,3535093,9310398,2061798
adult-peripheral-blood-2,12597496,1651742,9532639,1413115
adult-peripheral-blood-3.1,6439959,577365,5110471,752123
adult-peripheral-blood-3.2,6126204,555560,4863608,707036
adult-peripheral-blood-4.1,7973956,767386,6267876,938694
adult-peripheral-blood-4.2,15301386,1841815,11736344,1723227
adult-peripheral-blood-4.3,4409856,357993,3528624,523239
adult-pleura-1,9981520,2399811,6877505,704204
adult-prostate-1,2902572,193201,2510981,198390
adult-rectum-1,25071137,3896076,16848116,4326945
adult-sigmoid-colon-1,16636074,2646963,11083272,2905839
adult-spleen-1.1,18431116,1951613,13005634,3473869
adult-spleen-1.2,13987669,1238722,10517207,2231740
adult-stomach-1,3013079,252278,2119992,640809
adult-stomach-2,10087213,1391883,7806665,888665
adult-stomach-3.1,8740163,1361199,4389985,2988979
adult-stomach-3.2,8543186,1493592,4380763,2668831
adult-stomach-3.3,12293587,2301331,6290301,3701955
adult-temporal-lobe-1.1,20899509,6236867,12631469,2031173
adult-temporal-lobe-1.2,11143438,1664898,8632866,845674
adult-temporal-lobe-1.3,10011778,1291056,7967469,753253
adult-thyroid-1,8305429,1222546,6423302,659581
adult-thyroid-2,3081305,482982,2276772,321551
adult-trachea-2,11961883,3383733,7690597,887553
adult-transverse-colon-1,10303211,905610,8029228,1368373
adult-transverse-colon-2.1,11496665,1781668,8056253,1658744
adult-transverse-colon-2.2,12039571,2320323,8127985,1591263
adult-ureter-1,4005127,244565,3287421,473141
adult-uterus-1,5264533,1236133,3619094,409306
chorionic-villus-1,10431109,873064,8827889,730156
cord-blood-1,5921720,486517,4835283,599920
cord-blood-2.1,9375692,1122300,7102514,1150878
cord-blood-2.2,16042329,1657614,12202063,2182652
cord-blood-cd34p-1,7936397,500206,6593064,843127
cord-blood-cd34p-2.1,12254649,1091775,9815154,1347720
cord-blood-cd34p-2.2,12418307,1041079,9787177,1590051
embryonic-stem-cell-1,21783234,9631257,10144122,2007855
fetal-adrenal-gland-2,8146157,1080408,6391522,674227
fetal-adrenal-gland-3,4448571,471587,3486575,490409
fetal-adrenal-gland-4,2047572,187254,1619361,240957
fetal-brain-3,5266211,443472,4380020,442719
fetal-brain-4,1870720,205721,1522919,142080
fetal-brain-5,901437,126125,689429,85883
fetal-brain-6,9676121,832494,7987192,856435
fetal-calvaria-1,7157923,837672,5707442,612809
fetal-eyes-1,10309000,1041343,8252533,1015124
fetal-female-gonad-1,6697044,1229540,4561484,906020
fetal-female-gonad-2,8875806,959913,7054861,861032
fetal-heart-1,22997607,2021276,18419180,2557151
fetal-heart-2,10414508,1087356,8325779,1001373
fetal-intestine-1,4641362,420148,3804633,416581
fetal-intestine-2,1471860,229645,1112500,129715
fetal-intestine-3,5386334,434170,4387864,564300
fetal-intestine-4,24815189,2044237,19835597,2935355
fetal-intestine-5,3725325,371368,2960209,393748
fetal-kidney-3,4269597,319623,3533032,416942
fetal-kidney-4,3751978,238653,3173094,340231
fetal-kidney-5,2562338,213915,2075695,272728
fetal-kidney-6,8566930,688528,6968999,909403
fetal-liver-1.1,13461780,1804391,9624782,2032607
fetal-liver-1.2,15774205,1910096,11533933,2330176
fetal-lung-1,29494210,3618239,22817713,3058258
fetal-lung-2,14720986,1323067,11835680,1562239
fetal-male-gonad-1,26665953,10159709,14009120,2497124
fetal-male-gonad-2,2848137,244232,2352502,251403
fetal-muscle-1,10214213,1178265,8195174,840774
fetal-pancreas-1,18899973,1249534,14790937,2859502
fetal-pancreas-2,1914494,307983,1442207,164304
fetal-pancreas-3,9507008,1394266,7114110,998632
fetal-rib-2,3390951,620779,2490928,279244
fetal-rib-3,11700033,835973,9840068,1023992
fetal-skin-2,18772572,1550170,15778926,1443476
fetal-skin-3,8629352,1095649,6776310,757393
fetal-spinal-cord-1,4305678,402249,3354918,548511
fetal-stomach-1,4827694,614650,3805800,407244
fetal-stomach-2,16819710,2062999,13003269,1753442
fetal-thymus-1,2251274,230157,1781709,239408
fetal-thymus-2,2367264,262159,1849933,255172
ips-1,1419778,191683,1056882,171213
ips-to-eb-18day-1,5131064,720000,3882593,528471
ips-to-eb-20day-1,2823186,366946,2152516,303724
ips-to-eb-9day-1,7445210,1124945,5446600,873665
neonatal-adrenal-gland-1.1,7429350,911946,5646211,871193
neonatal-adrenal-gland-1.2,6411927,676877,4926951,808099
placenta-1,47569897,8023020,34950004,4596873
psc-to-pancreatic-islet-cell-1,4946260,720936,3755656,469668
